step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.5,0.0,0.0,0.004742030054330826,0.00087406812235713,-0.014875168912112713,0.4952587412553037,0.014875168912112713,0.004821912910733429,0.10423151403665543,-11.58458137512207,0.49871325492858887,0,0,0,0
1,0.020000,1,0.5,0.0,0.0,0.0005434539052657783,-0.002367147244513035,0.16617074608802795,0.4994621555463022,0.16617074608802795,0.0024287297553153746,0.4676995873451233,-11.572782516479492,0.4989578425884247,0,0,0,0
1,0.020000,2,0.5,0.0,0.0,-0.008450698107481003,0.0005818670033477247,0.1366972178220749,0.5084510310493965,0.1366972178220749,0.008470706447125166,-0.3982276916503906,-11.870308876037598,0.49946078658103943,0,0,0,0
1,0.020000,3,0.5,0.0,0.0,-0.014553923159837723,-0.0008607935160398483,-0.05486365407705307,0.5145546431669404,0.05486365407705307,0.01457935680404719,-0.1447804570198059,-11.726912498474121,0.49909698963165283,0,0,0,0
1,0.020000,4,0.5,0.0,0.0,0.006582609843462706,-0.002397372853010893,0.14893849194049835,0.4934232141939462,0.14893849194049835,0.007005579843782076,-0.46311667561531067,-11.59745979309082,0.4987509846687317,0,0,0,0
1,0.020000,5,0.5,0.0,0.0,-0.007884419523179531,0.00022244825959205627,0.19673529267311096,0.5078844682382256,0.19673529267311096,0.007887556937714623,0.36052796244621277,-12.300829887390137,0.49941152334213257,0,0,0,0
1,0.020000,6,0.5,0.0,0.0,-0.01634136028587818,-0.004520178306847811,0.17524927854537964,0.5163611452789576,0.17524927854537964,0.016955001265661237,0.25059938430786133,-11.696853637695312,0.49930426478385925,0,0,0,0
1,0.020000,7,0.5,0.0,0.0,-0.004443015903234482,0.0002481799165252596,-0.036703918129205704,0.5044430769540027,0.036703918129205704,0.004449941975729684,0.38428428769111633,-11.80866813659668,0.49909406900405884,0,0,0,0
1,0.020000,8,0.5,0.0,0.0,-0.0011658142320811749,-0.0012778626987710595,0.18234561383724213,0.5011674433639737,0.18234561383724213,0.0017297560234418826,-0.13751232624053955,-4.114787578582764,0.4987601637840271,0,0,0,0
1,0.020000,9,0.5,0.0,0.0,-0.006678150035440922,0.00011644186452031136,-0.029337767511606216,0.5066781634154413,0.029337767511606216,0.006679165112772146,0.3527625501155853,-4.256815433502197,0.49925824999809265,0,0,0,0
1,0.020000,10,0.5,0.0,0.0,-0.01461243536323309,-0.000245353439822793,0.14817501604557037,0.5146124938522074,0.14817501604557037,0.014614495049610774,-0.09405037015676498,-3.871511459350586,0.4993090033531189,0,0,0,0
1,0.020000,11,0.5,0.0,0.0,0.005812495946884155,0.0024816826917231083,0.054515186697244644,0.4941937352003066,0.054515186697244644,0.006320115356142068,-0.42710286378860474,-3.7415058612823486,0.4987974762916565,0,0,0,0
1,0.020000,12,0.5,0.0,0.0,-0.0030358668882399797,-0.0011104722507297993,0.0027214379515498877,0.5030370925932031,0.0027214379515498877,0.0032325897331323696,0.4785202741622925,-4.259158134460449,0.49888503551483154,0,0,0,0
1,0.020000,13,0.5,0.0,0.0,-0.0003664365503937006,-0.000610391958616674,-0.015125073492527008,0.5003668088557457,0.015125073492527008,0.0007119368571778922,0.23761408030986786,-3.859517812728882,0.4992700517177582,0,0,0,0
1,0.020000,14,0.5,0.0,0.0,-0.009478515014052391,-0.0027581844478845596,0.006328043527901173,0.5094859810067128,0.006328043527901173,0.009871667960388906,0.25172317028045654,-4.173032283782959,0.4985964000225067,0,0,0,0
1,0.020000,15,0.5,0.0,0.0,-0.0126991868019104,-0.00147353857755661,-0.1112954393029213,0.5127013043315569,0.1112954393029213,0.01278439131790649,-0.013558092527091503,-4.380091190338135,0.49877095222473145,0,0,0,0
1,0.020000,16,0.5,0.0,0.0,-0.02221062406897545,-0.0019239677349105477,0.027864661067724228,0.5222141682704078,0.027864661067724228,0.022293798989367612,0.005406906828284264,4.077155113220215,0.4997711479663849,0,0,0,0
1,0.020000,17,0.5,0.0,0.0,-0.00660345796495676,0.0041216472163796425,-0.1049111858010292,0.5066202242289859,0.1049111858010292,0.007784191214971594,0.21545937657356262,4.085955619812012,0.4991917312145233,0,0,0,0
1,0.020000,18,0.5,0.0,0.0,-0.010292792692780495,-0.0017963787540793419,0.17202696204185486,0.5102959545703113,0.17202696204185486,0.010448375856785742,-0.03603558987379074,4.033614158630371,0.49935784935951233,0,0,0,0
1,0.020000,19,0.5,0.0,0.0,-0.010760937817394733,-0.003044973826035857,0.06761547923088074,0.5107700142585759,0.06761547923088074,0.011183454220905076,0.205177903175354,4.12142276763916,0.499024361371994,0,0,0,0
1,0.020000,20,0.5,0.0,0.0,-0.010176951065659523,-0.004016535356640816,0.05035765469074249,0.5101927615665706,0.05035765469074249,0.010940881557898992,0.14919055998325348,4.346312046051025,0.4993439316749573,0,0,0,0
1,0.020000,21,0.5,0.0,0.0,-0.012990002520382404,-0.0008787717670202255,-0.02297779731452465,0.5129907552048871,0.02297779731452465,0.01301969298017634,-0.15609508752822876,4.436007022857666,0.4993424415588379,0,0,0,0
1,0.020000,22,0.5,0.0,0.0,0.0007591541507281363,-0.002646041102707386,-0.10485818982124329,0.4992478579801957,0.10485818982124329,0.00275278922945159,-0.39877569675445557,3.5824227333068848,0.4986953139305115,0,0,0,0
1,0.020000,23,0.5,0.0,0.0,-0.005193651188164949,0.001984786242246628,-0.020065994933247566,0.5051975500507269,0.020065994933247566,0.005559981033397388,0.03872770071029663,3.938880205154419,0.49904677271842957,0,0,0,0
1,0.020000,24,0.5,0.0,0.0,-0.008818572387099266,-0.0017397841438651085,0.0776544064283371,0.5088215467675411,0.0776544064283371,0.008988552042111905,-0.4184558391571045,12.420745849609375,0.4994230270385742,0,0,0,0
1,0.020000,25,0.5,0.0,0.0,-0.00240136357024312,0.0030664203222841024,0.19424094259738922,0.5024107214728131,0.19424094259738922,0.0038948017394223964,-0.4507761001586914,12.26419448852539,0.4992760419845581,0,0,0,0
1,0.020000,26,0.5,0.0,0.0,0.003874390386044979,0.00011052843183279037,-0.05677206069231033,0.4961256219258916,0.05677206069231033,0.0038759666404293495,-0.15288372337818146,11.606451034545898,0.49892207980155945,0,0,0,0
1,0.020000,27,0.5,0.0,0.0,-0.015866050496697426,-0.0040384698659181595,0.06133655086159706,0.5158818578840694,0.06133655086159706,0.01637195153980373,0.005701849237084389,11.548937797546387,0.49910542368888855,0,0,0,0
1,0.020000,28,0.5,0.0,0.0,-0.013038668781518936,-0.0028699077665805817,0.10686466097831726,0.5130466957653093,0.10686466097831726,0.013350777287590264,0.07521925121545792,12.2746000289917,0.4994561970233917,0,0,0,0
