name,run,term,weight,logged,value,walking,terrain_level
A020,go2_g_a020_chain01_lin_vel_z_m2,action_rate_l2,-0.01,-0.066,6.6,False,0.966
A020,go2_g_a020_chain01_lin_vel_z_m2,dof_torques_l2,-0.0002,-0.060,300,False,0.966
A020,go2_g_a020_chain01_lin_vel_z_m2,dof_acc_l2,-2.5e-07,-0.094,376000,False,0.966
A020,go2_g_a020_chain01_lin_vel_z_m2,feet_air_time,0.01,-0.001,,False,0.966
A021,go2_g_a021_chain01_ang_vel_xy_m005,track_lin_vel_xy_exp,1.2,0.544,0.453333,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,track_ang_vel_z_exp,0.75,0.606,0.808,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,lin_vel_z_l2,-3.0,-0.029,0.00966667,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,ang_vel_xy_l2,-0.05,-0.091,1.82,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,action_rate_l2,-0.01,-0.078,7.8,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,dof_torques_l2,-0.0002,-0.068,340,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,dof_acc_l2,-2.5e-07,-0.094,376000,False,1.013
A021,go2_g_a021_chain01_ang_vel_xy_m005,feet_air_time,0.01,-0.002,,False,1.013
A022,go2_g_a022_chain01_feet_air_time_020,track_lin_vel_xy_exp,1.2,0.485,0.404167,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,track_ang_vel_z_exp,0.75,0.606,0.808,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,lin_vel_z_l2,-3.0,-0.026,0.00866667,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,ang_vel_xy_l2,-0.08,-0.097,1.2125,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,action_rate_l2,-0.01,-0.062,6.2,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,dof_torques_l2,-0.0002,-0.056,280,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,dof_acc_l2,-2.5e-07,-0.091,364000,False,0.916
A022,go2_g_a022_chain01_feet_air_time_020,feet_air_time,0.2,-0.025,-0.125,False,0.916
Pilot-01,train_260831-Go2_5var_1000,track_lin_vel_xy_exp,1.2,0.796,0.663333,True,3.902
Pilot-01,train_260831-Go2_5var_1000,track_ang_vel_z_exp,0.75,0.554,0.738667,True,3.902
