key,shown
upright_fraction:G-A038:303:20,1.000
height_rel_mean:G-A038:303:20,0.398
survival_proxy:G-A033,1.000
tracking_proxy:G-A033,0.949
speed_xy_mean:G-A033,0.736
height_rel_mean:G-A033,0.358
survival_proxy:G-A038,1.000
tracking_proxy:G-A038,0.876
speed_xy_mean:G-A038,0.618
height_rel_mean:G-A038,0.319
g_a033_scenario_proxy:G1,0.879
g_a038_upper_bound:G1,0.876
loss_lower_bound:G1,0.003
limit:G1,0.054
g_a033_scenario_proxy:G5,0.0043
g_a038_upper_bound:G5,0.000
loss_lower_bound:G5,0.045
limit:G5,0.056
