group,case,proxy_g_a033,proxy_g_a038,delta,survival_g_a033,survival_g_a038,tracking_g_a033,tracking_g_a038,posture_falls_g_a033,posture_falls_g_a038,terminated_g_a033,terminated_g_a038,speed_g_a033,speed_g_a038,height_p10_g_a033,height_p10_g_a038,case_faults
rough_lateral,G3:rough_lateral:101,0.303776,0.732368,0.428591,0.375000,0.875000,0.810071,0.836992,20,4,19,2,0.199556,0.161951,0.267786,0.266874,
rough_lateral,G3:rough_lateral:202,0.301947,0.617276,0.315329,0.375000,0.750000,0.805192,0.823034,20,8,20,8,0.195208,0.159249,0.267250,0.271872,
rough_lateral,G3:rough_lateral:303,0.330196,0.654754,0.324558,0.406250,0.812500,0.812791,0.805851,19,6,19,6,0.189975,0.148592,0.291108,0.270888,
push_pos_x,G6:push_pos_x:101,0.813278,0.938003,0.124725,0.843750,0.968750,0.963885,0.968261,5,1,5,1,0.048619,0.050637,0.370045,0.370121,
push_pos_x,G6:push_pos_x:202,0.940248,0.963515,0.023268,0.968750,1.000000,0.970578,0.963515,1,0,1,0,0.046489,0.053792,0.373591,0.367430,
push_pos_x,G6:push_pos_x:303,0.906801,0.907170,0.000370,0.937500,0.937500,0.967254,0.967648,2,2,2,2,0.047603,0.050683,0.371814,0.374548,
stairs_10_climb,G5:stairs_10_down:101,0.185997,0.000000,-0.185997,0.875000,0.000000,0.212568,0.149485,4,32,1,1,0.199063,0.102117,0.198377,0.122814,
stairs_10_climb,G5:stairs_10_down:202,0.117762,0.000000,-0.117762,0.531250,0.000000,0.221670,0.149269,15,32,2,0,0.180239,0.094353,0.158458,0.114636,
stairs_10_climb,G5:stairs_10_down:303,0.117691,0.000000,-0.117691,0.531250,0.000000,0.221537,0.143176,15,32,3,0,0.192357,0.095514,0.131559,0.121227,
