step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,proj_grav_z,terrain_z,height_rel,upright,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,-0.5,0.0,0.0,-0.08456384390592575,0.00026821717619895935,-0.03168223053216934,0.41543624267831236,0.03168223053216934,0.08456426926663166,7.9638590812683105,-4.991397857666016,0.39938855171203613,-0.9999838471412659,4.895868148395722e-07,0.39938806212522127,1,0,0,0,0
1,0.020000,1,-0.5,0.0,0.0,-0.06641305983066559,0.0054927244782447815,0.03750809654593468,0.43362172997625464,0.03750809654593468,0.06663981196151049,7.176271915435791,-2.8146798610687256,0.3990904688835144,-0.9999813437461853,2.0399450618315507e-07,0.39909026488900823,1,0,0,0,0
1,0.020000,2,-0.5,0.0,0.0,-0.06590064615011215,0.004738740622997284,0.05260678753256798,0.4341252177374429,0.05260678753256798,0.0660708016123184,7.426698684692383,-0.07218155264854431,0.39937663078308105,-0.9999950528144836,6.731818704044118e-07,0.39937595760121064,1,0,0,0,0
1,0.020000,3,-0.5,0.0,0.0,-0.07802130281925201,-0.004744306206703186,-0.19917482137680054,0.42200536645372694,0.19917482137680054,0.07816541521028583,7.995055198669434,2.804649829864502,0.39963340759277344,-0.9999945759773254,-1.0199725309157753e-08,0.3996334177924987,1,0,0,0,0
1,0.020000,4,-0.5,0.0,0.0,-0.057750534266233444,0.0033865757286548615,0.031089194118976593,0.4422624320886501,0.031089194118976593,0.05784974592166605,7.819364547729492,5.098410606384277,0.3994605839252472,-0.999974250793457,8.057782994234626e-07,0.3994597781469478,1,0,0,0,0
1,0.020000,5,-0.5,0.0,0.0,-0.0589229092001915,-0.003709138138219714,0.026255201548337936,0.4410926861036702,0.026255201548337936,0.05903953704376761,5.0487213134765625,-4.782593727111816,0.39947542548179626,-0.9999988675117493,1.0607714321524064e-06,0.3994743647103641,1,0,0,0,0
1,0.020000,6,-0.5,0.0,0.0,-0.06281911581754684,-0.0010164882987737656,-0.125038281083107,0.43718206589819425,0.125038281083107,0.06282733927646393,5.014702796936035,-2.2881784439086914,0.39912375807762146,-0.9999927282333374,1.6319560494652405e-07,0.3991235948820165,1,0,0,0,0
1,0.020000,7,-0.5,0.0,0.0,-0.0677688717842102,0.0021506883203983307,0.01564449444413185,0.43223647886191424,0.01564449444413185,0.06780298992785068,5.0527825355529785,-0.2642534673213959,0.3989350199699402,-0.9999908208847046,1.325964290190508e-07,0.3989348873735112,1,0,0,0,0
1,0.020000,8,-0.5,0.0,0.0,-0.08988884091377258,0.0005800649523735046,0.10650400072336197,0.4101115693105937,0.10650400072336197,0.08989071251342091,4.826910972595215,2.68261456489563,0.39912936091423035,-0.9999836087226868,1.7339533025568182e-07,0.3991291875189001,1,0,0,0,0
1,0.020000,9,-0.5,0.0,0.0,-0.066396065056324,0.0016828998923301697,-0.12484364211559296,0.4336072007597282,0.12484364211559296,0.06641738934203312,5.285317897796631,4.73116397857666,0.399158239364624,-0.9999421834945679,4.691873642212567e-07,0.3991577701772598,1,0,0,0,0
