step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.5,0.0,0.0,0.06824822723865509,-0.004843264818191528,0.02645300328731537,0.4317789370692637,0.02645300328731537,0.06841986360201426,-0.43667072057724,-12.209025382995605,0.4984995126724243,0,0,0,0
1,0.020000,1,0.5,0.0,0.0,0.07069302350282669,-0.007932320237159729,0.167062446475029,0.42938025312476746,0.167062446475029,0.07113666618781106,0.20378032326698303,-11.519516944885254,0.498075932264328,0,0,0,0
1,0.020000,2,0.5,0.0,0.0,0.06625375151634216,-0.005455952137708664,-0.02622796967625618,0.43378056144481164,0.02622796967625618,0.06647801895151645,0.29149866104125977,-12.49813461303711,0.4985193610191345,0,0,0,0
1,0.020000,3,0.5,0.0,0.0,0.0649045929312706,-0.010970971547067165,0.1512613445520401,0.4352337021290859,0.1512613445520401,0.0658252869364084,0.28834933042526245,-12.114190101623535,0.4982983469963074,0,0,0,0
1,0.020000,4,0.5,0.0,0.0,0.06958449631929398,-0.005237095057964325,0.12431136518716812,0.4304473637663054,0.12431136518716812,0.0697812961520205,-0.32981032133102417,-11.8167724609375,0.4982593059539795,0,0,0,0
1,0.020000,5,0.5,0.0,0.0,0.07748682796955109,-0.007253214716911316,-0.03124440833926201,0.42257542482137,0.03124440833926201,0.07782555899261132,0.0331055223941803,-12.100290298461914,0.4986494779586792,0,0,0,0
1,0.020000,6,0.5,0.0,0.0,0.08292675763368607,-0.011225377209484577,-0.08213486522436142,0.417224278525885,0.08213486522436142,0.08368307012252434,-0.2874113917350769,-12.467025756835938,0.49819085001945496,0,0,0,0
1,0.020000,7,0.5,0.0,0.0,0.07959987223148346,-0.002396620810031891,0.013835251331329346,0.4204069590516933,0.013835251331329346,0.07963594320767206,0.09684286266565323,-11.519039154052734,0.4983026683330536,0,0,0,0
1,0.020000,8,0.5,0.0,0.0,0.09286744892597198,-0.014250990003347397,-0.13498982787132263,0.4073818906874992,0.13498982787132263,0.09395453041814175,0.2476019710302353,-3.9810471534729004,0.4983193278312683,0,0,0,0
1,0.020000,9,0.5,0.0,0.0,0.07474524527788162,-0.016166124492883682,-0.10189227759838104,0.4255619226327568,0.10189227759838104,0.07647349392286257,-0.03889695554971695,-4.325619220733643,0.49835437536239624,0,0,0,0
1,0.020000,10,0.5,0.0,0.0,0.05772151052951813,-0.006071143783628941,0.11267980933189392,0.44232015671358754,0.11267980933189392,0.05803991354792638,-0.49352899193763733,-3.705920457839966,0.49815645813941956,0,0,0,0
1,0.020000,11,0.5,0.0,0.0,0.06875493377447128,-0.005650132894515991,-0.005474393256008625,0.4312820783960149,0.005474393256008625,0.06898670103764655,0.2917332053184509,-3.639225482940674,0.49827370047569275,0,0,0,0
1,0.020000,12,0.5,0.0,0.0,0.07045254111289978,-0.007459977176040411,-0.027695057913661003,0.42961223294481743,0.027695057913661003,0.07084639587679728,0.27796706557273865,-3.959998846054077,0.49824410676956177,0,0,0,0
1,0.020000,13,0.5,0.0,0.0,0.06479400396347046,-0.009583644568920135,-0.047467753291130066,0.43531150367222227,0.047467753291130066,0.06549892512737608,-0.19279351830482483,-4.444626331329346,0.49841365218162537,0,0,0,0
1,0.020000,14,0.5,0.0,0.0,0.07937748730182648,-0.012285903096199036,0.07536662369966507,0.4208019030415789,0.07536662369966507,0.08032265499372401,0.3151762783527374,-3.5193839073181152,0.4983011484146118,0,0,0,0
1,0.020000,15,0.5,0.0,0.0,0.07739301025867462,-0.0065509602427482605,-0.1388578861951828,0.42265776091103163,0.1388578861951828,0.07766976964689276,0.35026323795318604,-4.244894027709961,0.4984929859638214,0,0,0,0
1,0.020000,16,0.5,0.0,0.0,0.07998926192522049,-0.00252562016248703,-0.0509943850338459,0.4200183315705711,0.0509943850338459,0.08002912457691068,0.2858433127403259,4.056180000305176,0.4980502724647522,0,0,0,0
1,0.020000,17,0.5,0.0,0.0,0.07727181911468506,-0.010142698884010315,0.07539132237434387,0.4228498424444063,0.07539132237434387,0.07793464165532751,-0.02315758354961872,3.7869644165039062,0.49824610352516174,0,0,0,0
1,0.020000,18,0.5,0.0,0.0,0.06593859195709229,-0.009569969028234482,0.028169265016913414,0.4341668921732667,0.028169265016913414,0.06662943956304362,-0.2536769509315491,3.772030830383301,0.498428076505661,0,0,0,0
1,0.020000,19,0.5,0.0,0.0,0.06443116068840027,-0.006732288748025894,-0.1331949532032013,0.43562086438902464,0.1331949532032013,0.0647819278768489,0.06572983413934708,4.092686653137207,0.4987616539001465,0,0,0,0
1,0.020000,20,0.5,0.0,0.0,0.08016801625490189,-0.005227438639849424,-0.015325993299484253,0.41986452659170637,0.015325993299484253,0.08033826575785417,-0.46108728647232056,3.8629064559936523,0.49854618310928345,0,0,0,0
1,0.020000,21,0.5,0.0,0.0,0.06979325413703918,-0.006989821791648865,-0.11775410175323486,0.430263525986897,0.11775410175323486,0.0701423975332776,-0.07125606387853622,4.258939743041992,0.49861621856689453,0,0,0,0
1,0.020000,22,0.5,0.0,0.0,0.07486454397439957,-0.009394211694598198,0.028422992676496506,0.4252392352352475,0.028422992676496506,0.07545164781406521,-0.07120241224765778,3.8331382274627686,0.49831169843673706,0,0,0,0
1,0.020000,23,0.5,0.0,0.0,0.06509185582399368,-0.00414882879704237,0.013488608412444592,0.43492793270955254,0.013488608412444592,0.06522394096494591,0.359616219997406,4.338305950164795,0.49847179651260376,0,0,0,0
