arm,seed,case,n_envs,envs_terminated,envs_base_contact,envs_upright_frac_ge_0p9,envs_hr_last200_below_gate,envs_tilted_last200_pgz_gt_m0p5,envs_climbed_ge_0p05m,mean_upright_frac,mean_height_rel,mean_height_rel_last200,mean_proj_grav_z,mean_proj_grav_z_last200,mean_speed_xy,mean_speed_xy_last200,mean_net_dxy_m,mean_terrain_z_climb_m,mean_first_below_gate_step
A033,101,stairs_10_down,32,1,1,27,2,0,0,0.95234375,0.26808322411397323,0.25339333331977787,-0.9722776458617299,-0.9552362645369264,0.19906291658396527,0.1135647826535873,0.5430637505292906,0.000618526961076709,206.25
A033,202,stairs_10_down,32,2,2,23,7,1,2,0.85896875,0.260651339686989,0.24725510074938686,-0.9523618009332567,-0.9185687808403329,0.18023850488225107,0.09250380776307707,0.6811923293248937,0.016360475736505842,199.07407407407408
A033,303,stairs_10_down,32,3,3,20,9,0,3,0.81171875,0.2520914870175766,0.22998402843857113,-0.9610142082720995,-0.9448633819114213,0.1923569073363181,0.09491658806173604,0.6354885494035042,0.0198698920362136,272.53333333333336
A038,101,stairs_10_down,32,1,1,0,28,1,1,0.33246875,0.18222260574803728,0.14489983357907357,-0.9153575649168343,-0.8449455465824894,0.1021168863701976,0.019269576079449097,0.5914107021265215,0.004178082241731527,191.09375
A038,202,stairs_10_down,32,0,0,2,23,0,0,0.40328125,0.18441651153183458,0.15310231042616473,-0.9419225141126663,-0.8972951007163643,0.09435261015367856,0.022429712343075364,0.5208427977318858,-0.00041765898944223084,184.46875
A038,303,stairs_10_down,32,0,0,0,29,2,0,0.3186875,0.18067090256539062,0.1442573412642405,-0.9189637282155454,-0.8386596280951701,0.09551423224720486,0.02030061250022652,0.4452774053543566,6.71202486211657e-05,189.1875
