arm,seed,case,step_bin_start,step_bin_end,height_rel_median,height_rel_mean,proj_grav_z_mean,speed_xy_mean,terrain_z_mean,upright_frac,rows
A033,101,stairs_10_down,1,100,0.37060992905800355,0.3656292345122818,-0.990733690392226,0.35462900228693184,-0.6914982886174146,1.0,3200
A033,101,stairs_10_down,101,200,0.29367755516805755,0.29014389307086264,-0.9854911856353283,0.3790980152079485,-0.6336387943042153,0.9640625,3200
A033,101,stairs_10_down,201,300,0.25083694734515993,0.25119116499243094,-0.9798009445890784,0.2875398520591087,-0.5461601771709116,0.9446875,3200
A033,101,stairs_10_down,301,400,0.24856450603926245,0.24842161453847633,-0.9739336796104908,0.196186237841979,-0.4852183451085167,0.949375,3200
A033,101,stairs_10_down,401,500,0.25663496581787737,0.25668944548355177,-0.974278776217252,0.1763036355897655,-0.4438839083208757,0.979375,3200
A033,101,stairs_10_down,501,600,0.24826700403728585,0.2546652170655295,-0.9707759092189372,0.1293137348022441,-0.41686986991747177,0.97125,3200
A033,101,stairs_10_down,601,700,0.24954541258633456,0.2550860329383873,-0.9700931695103645,0.11559626664296184,-0.41202044575609625,0.948125,3200
A033,101,stairs_10_down,701,800,0.2507526810793953,0.25218642654462686,-0.9672918730974197,0.12489050437044791,-0.4077671107825111,0.939375,3200
A033,101,stairs_10_down,801,900,0.2526949125337091,0.25092879589484995,-0.9433119616098702,0.11630398195073374,-0.4080904742230706,0.9084375,3200
A033,101,stairs_10_down,901,1000,0.253894504219453,0.2558904160987357,-0.9670652687363327,0.11076793508753148,-0.4171877542823394,0.91875,3200
A033,202,stairs_10_down,1,100,0.3665990840623723,0.3620785364256624,-0.9903756525553763,0.3657910306050628,-0.6905218381741467,0.999375,3200
A033,202,stairs_10_down,101,200,0.28474554395611906,0.279642477880486,-0.9850392419658601,0.35797807349498273,-0.6296790359236977,0.9421875,3200
A033,202,stairs_10_down,201,300,0.24882775377780997,0.24498210660328237,-0.9811819490790367,0.24677323040300383,-0.5478874523754427,0.9165625,3200
A033,202,stairs_10_down,301,400,0.24829963626549204,0.24564067863345213,-0.9718845570087433,0.17768837016653927,-0.4929519747635897,0.92875,3200
A033,202,stairs_10_down,401,500,0.24787107709655787,0.24497685384205767,-0.9605970247648656,0.11186574866714383,-0.4722022835487988,0.901875,3200
A033,202,stairs_10_down,501,600,0.255299048946503,0.244263117924104,-0.9370008760690689,0.11494487644311015,-0.4698505204310392,0.795,3200
A033,202,stairs_10_down,601,700,0.25909647676237124,0.24639629480127742,-0.9485079283080995,0.14230907380339633,-0.46326847404082194,0.78875,3200
A033,202,stairs_10_down,701,800,0.2581167541504065,0.2439934291940197,-0.9118644277565181,0.09993078552668962,-0.4467221694802218,0.7659375,3200
A033,202,stairs_10_down,801,900,0.2607988322796151,0.24612784696597995,-0.9179736828804016,0.09686773129861509,-0.44104452000582284,0.7740625,3200
A033,202,stairs_10_down,901,1000,0.26323194824716944,0.24841205459956842,-0.9191926689445973,0.08823612841396722,-0.43983095441591297,0.7771875,3200
A033,303,stairs_10_down,1,100,0.3714581755074588,0.36563295175077365,-0.9904924908652901,0.344327447713239,-0.6905410665528658,0.999375,3200
A033,303,stairs_10_down,101,200,0.293652631222883,0.2864088289888904,-0.9850457779131829,0.36608040605663517,-0.6297988714540707,0.97375,3200
A033,303,stairs_10_down,201,300,0.24775926601440512,0.24932865400885773,-0.9817686727456748,0.2833919264253913,-0.5395328119731841,0.94375,3200
A033,303,stairs_10_down,301,400,0.2445461092626347,0.24050102107616503,-0.9707791090756654,0.21425968043175878,-0.4684863541183625,0.8578125,3200
A033,303,stairs_10_down,401,500,0.23896484252284553,0.23358743996247644,-0.9463982504047453,0.16555681804742195,-0.4405534984976212,0.8078125,3200
A033,303,stairs_10_down,501,600,0.2406016871094066,0.22988345702696164,-0.9463452504761517,0.13323174151696035,-0.4297613842187718,0.7390625,3200
A033,303,stairs_10_down,601,700,0.24717847947130867,0.23110490791366486,-0.95348878338933,0.11877852839673142,-0.4252115957239732,0.7075,3200
A033,303,stairs_10_down,701,800,0.24250431446468124,0.22444927576415655,-0.9459702098928392,0.10822047195657439,-0.41743750785123857,0.6946875,3200
A033,303,stairs_10_down,801,900,0.24755990596856664,0.22729809963240963,-0.9405117177404463,0.0984903400436749,-0.41084893065977857,0.6953125,3200
A033,303,stairs_10_down,901,1000,0.2556014555820169,0.2327202340514111,-0.949341820217669,0.09123171277479386,-0.4074639096362068,0.698125,3200
A038,101,stairs_10_down,1,100,0.32869435241196887,0.32430724039838155,-0.9953185079619289,0.3096042159607572,-0.6926623938714757,0.998125,3200
A038,101,stairs_10_down,101,200,0.2568449205893246,0.24788005844665004,-0.9916807918995619,0.2850994843152567,-0.6534413432979329,0.798125,3200
A038,101,stairs_10_down,201,300,0.17360474862516884,0.18512021216792976,-0.9811328888684511,0.14948626102464987,-0.609953184931036,0.415,3200
A038,101,stairs_10_down,301,400,0.16560866831139448,0.16638040694114278,-0.9697085634432733,0.0850457430061734,-0.5827832847897382,0.2809375,3200
A038,101,stairs_10_down,401,500,0.16243858348558293,0.15813540620863795,-0.9230495624057948,0.06403854079472832,-0.5672008404056019,0.1946875,3200
A038,101,stairs_10_down,501,600,0.141322232503942,0.15496117156880465,-0.8826767588965595,0.04067098653885725,-0.5636423408793894,0.161875,3200
A038,101,stairs_10_down,601,700,0.13721219454219635,0.14930114938289843,-0.8648348803073168,0.026376382477347294,-0.5599733793863,0.135625,3200
A038,101,stairs_10_down,701,800,0.13591732969258558,0.14633817494284102,-0.8553006495721638,0.022299840667008873,-0.5573807889446217,0.1134375,3200
A038,101,stairs_10_down,801,900,0.1327467291431631,0.1441001100030374,-0.8449708937108517,0.02251445838806662,-0.555627768275572,0.111875,3200
A038,101,stairs_10_down,901,1000,0.13309607595045936,0.14570212742004962,-0.8449021521024406,0.016032950529130396,-0.5559155442721067,0.115,3200
A038,202,stairs_10_down,1,100,0.32645138118037564,0.32351939797122525,-0.9959118043445051,0.3131143861043551,-0.6923221401097303,1.0,3200
A038,202,stairs_10_down,101,200,0.25127303934989764,0.2423412648408131,-0.9905950848385692,0.27985803468712456,-0.6516702630749361,0.7671875,3200
A038,202,stairs_10_down,201,300,0.17397310764075596,0.17864972253658754,-0.9784014562517405,0.13450624641774525,-0.6078370293448954,0.395625,3200
A038,202,stairs_10_down,301,400,0.17267423549437905,0.16642998330793118,-0.9532088659331203,0.054846335900540895,-0.5884818239932392,0.3084375,3200
A038,202,stairs_10_down,401,500,0.17110189867210895,0.16159464284991795,-0.9451702716946602,0.042123408049199076,-0.5787830977070141,0.2828125,3200
A038,202,stairs_10_down,501,600,0.166096768914697,0.15721995049385343,-0.9346830454096198,0.030622814681297714,-0.5742112173721752,0.2609375,3200
A038,202,stairs_10_down,601,700,0.16176604387913157,0.15471496001174823,-0.9210220417939127,0.02308655540090847,-0.5711667566216565,0.250625,3200
A038,202,stairs_10_down,701,800,0.16097776089760074,0.1534864537583734,-0.9056426374986768,0.020488473266386302,-0.5702205655982787,0.2903125,3200
A038,202,stairs_10_down,801,900,0.162138361344363,0.15236236765512567,-0.8969449995085597,0.021988870021704264,-0.5684899418940519,0.2353125,3200
A038,202,stairs_10_down,901,1000,0.16304903991400876,0.15384637189276995,-0.8976449338532985,0.022890977007523804,-0.5672593112680364,0.2415625,3200
A038,303,stairs_10_down,1,100,0.32998095604187666,0.3236318868203935,-0.9956451091356575,0.30098185246959797,-0.6913614240559665,0.9975,3200
A038,303,stairs_10_down,101,200,0.2558852151275319,0.24582212048448263,-0.9898705189116299,0.2721453262026473,-0.6508023020704801,0.7746875,3200
A038,303,stairs_10_down,201,300,0.1756477784664236,0.18238483105163603,-0.9760981134884059,0.13751661301205456,-0.608791092395145,0.425,3200
A038,303,stairs_10_down,301,400,0.16686326345020436,0.16749824081667086,-0.9607967946119607,0.09246600741731412,-0.5807851224404605,0.30875,3200
A038,303,stairs_10_down,401,500,0.1567178322350915,0.1564047105050581,-0.9346772473677993,0.045253984758455205,-0.5666069219074147,0.205625,3200
A038,303,stairs_10_down,501,600,0.14766625908606829,0.149535459487943,-0.9089152814820409,0.021803234178315395,-0.5646632357810271,0.1096875,3200
A038,303,stairs_10_down,601,700,0.1383624911148918,0.14754181927737386,-0.8841390348598361,0.02495738507103484,-0.563002960818974,0.0984375,3200
A038,303,stairs_10_down,701,800,0.13640699651152055,0.14537123524519133,-0.8623172221705317,0.01936101665767901,-0.5611704011906915,0.0765625,3200
A038,303,stairs_10_down,801,900,0.13404297900391138,0.14370115399739164,-0.8436477672308683,0.017535493443507095,-0.5610616030954422,0.0959375,3200
A038,303,stairs_10_down,901,1000,0.13280916620384564,0.1448175679677649,-0.8335301928967237,0.023121409261442964,-0.56059903884954,0.0946875,3200
