arm,case,seed,env_id,observed,valid_seconds,stall_seconds,stall_share,first_step_time_s,censored,reason
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,6,True,19.48,0.0,0.0,5.26,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,7,True,8.72,2.14,0.245413,5.66,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,8,True,19.48,5.42,0.278234,3.46,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,9,True,19.48,3.92,0.201232,4.56,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,10,True,19.48,13.8,0.708419,4.12,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,11,True,19.48,1.08,0.055441,4.12,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,12,True,19.48,4.68,0.240246,5.76,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,13,True,19.48,0.0,0.0,4.18,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,14,True,11.02,1.32,0.119782,7.18,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,15,True,19.48,0.0,0.0,4.14,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,16,True,19.48,1.2,0.061602,4.32,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,17,True,19.48,5.98,0.306982,5.82,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,18,True,19.48,2.18,0.11191,5.18,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,19,True,19.48,12.46,0.63963,5.12,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,20,True,19.48,1.08,0.055441,3.62,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,21,True,19.48,9.24,0.474333,6.48,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,22,True,19.48,0.0,0.0,5.96,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,23,True,19.48,0.0,0.0,5.68,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,24,True,19.48,3.5,0.179671,4.6,False,
go2_g_a033_a017_track_lin_vel_xy_150,stairs_10_down,303,25,True,19.48,9.44,0.4846,5.48,False,
