step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,proj_grav_z,terrain_z,height_rel,upright,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.5,0.30000001192092896,0.0,0.04281400516629219,0.008264444768428802,0.021522292867302895,0.5423363117235265,0.021522292867302895,0.043604358563218246,7.526798248291016,-4.838811874389648,0.3983180820941925,-0.9999842047691345,7.445799475685161e-07,0.3983173375142449,1,0,0,0,0
1,0.020000,1,0.5,0.30000001192092896,0.0,0.048006169497966766,0.006587166339159012,-0.10700531303882599,0.538878020301712,0.10700531303882599,0.04845599106660872,7.803687572479248,-2.9628231525421143,0.3982376754283905,-0.999934196472168,6.425826944769385e-07,0.398237032845696,1,0,0,0,0
1,0.020000,2,0.5,0.30000001192092896,0.0,0.0342952124774456,0.0023519573733210564,0.0470331646502018,0.5526982119542303,0.0470331646502018,0.03437576620759252,7.680473327636719,-0.19680839776992798,0.39805248379707336,-0.9999858140945435,1.2239670370989306e-07,0.39805236140036965,1,0,0,0,0
1,0.020000,3,0.5,0.30000001192092896,0.0,0.04174554720520973,0.004414122551679611,0.07559727877378464,0.5453147361849511,0.07559727877378464,0.04197827044273788,7.990649223327637,2.45275616645813,0.3981289565563202,-0.9999710917472839,8.261777500417781e-07,0.39812813037857014,1,0,0,0,0
1,0.020000,4,0.5,0.30000001192092896,0.0,0.035752054303884506,0.0066302381455898285,0.03787584230303764,0.5491739061973512,0.03787584230303764,0.03636164799366416,7.134362697601318,5.330363750457764,0.39828360080718994,-0.9999802708625793,-1.2239670370989306e-07,0.39828372320389366,1,0,0,0,0
1,0.020000,5,0.5,0.30000001192092896,0.0,0.05089610069990158,0.010754995048046112,0.12938886880874634,0.5341881617485988,0.12938886880874634,0.052020024845611315,4.63518762588501,-5.239710807800293,0.3982040584087372,-0.9999548196792603,7.343802222593583e-07,0.39820332402851494,1,0,0,0,0
1,0.020000,6,0.5,0.30000001192092896,0.0,0.03837081417441368,0.0025131318252533674,-0.056386083364486694,0.5491811623089894,0.056386083364486694,0.03845302604449339,5.00954532623291,-2.1053497791290283,0.3978860080242157,-0.999982476234436,-1.1219697840073529e-07,0.3978861202211941,1,0,0,0,0
1,0.020000,7,0.5,0.30000001192092896,0.0,0.03318316116929054,0.007959941402077675,-0.058750323951244354,0.5506408664497688,0.058750323951244354,0.03412451981071121,5.084802150726318,-0.0027142027392983437,0.39872631430625916,-0.9999770522117615,6.119835185494653e-08,0.3987262531079073,1,0,0,0,0
1,0.020000,8,0.5,0.30000001192092896,0.0,0.04112772271037102,0.004773434717208147,-0.01576407253742218,0.5456395318819877,0.01576407253742218,0.04140380724451093,4.584813594818115,2.556774139404297,0.39822444319725037,-0.9999686479568481,1.7339533025568182e-07,0.3982242698019201,1,0,0,0,0
1,0.020000,9,0.5,0.30000001192092896,0.0,0.05414671078324318,0.008979909121990204,-0.10014553368091583,0.5324263852764116,0.10014553368091583,0.05488629206353246,4.609058380126953,4.664140224456787,0.3981742560863495,-0.9999578595161438,7.343802222593583e-07,0.39817352170612724,1,0,0,0,0
1,0.020000,10,0.5,0.30000001192092896,0.0,0.03995484858751297,0.001984231173992157,0.009842822328209877,0.5481377079825328,0.009842822328209877,0.04000408852858579,2.4945616722106934,-5.216783046722412,0.39815807342529297,-0.9999920725822449,1.8359505556483956e-07,0.3981578898302374,1,0,0,0,0
1,0.020000,11,0.5,0.30000001192092896,0.0,0.04401092603802681,0.0070899054408073425,0.016352392733097076,0.5419615909369353,0.016352392733097076,0.04457833969411889,2.027740716934204,-2.722626209259033,0.39767441153526306,-0.9999781847000122,2.7539258334725935e-07,0.3976741361426797,1,0,0,0,0
1,0.020000,12,0.5,0.30000001192092896,0.0,0.04311085119843483,0.0057710930705070496,-0.11671372503042221,0.543432011368954,0.11671372503042221,0.04349541362353098,2.6448402404785156,-0.27953657507896423,0.3981779217720032,-0.9999648332595825,2.5499313272894386e-07,0.39817766677887045,1,0,0,0,0
1,0.020000,13,0.5,0.30000001192092896,0.0,0.03546581789851189,0.006998755037784576,0.051699526607990265,0.5492192120417866,0.051699526607990265,0.03614978300473353,2.8509862422943115,2.961350679397583,0.3978580832481384,-0.9999354481697083,3.059917592747326e-07,0.39785777725637916,1,0,0,0,0
1,0.020000,14,0.5,0.30000001192092896,0.0,0.03710737079381943,0.0057911137118935585,0.010025102645158768,0.5484783149394196,0.010025102645158768,0.037556543574377085,2.186152219772339,5.093103408813477,0.3986586630344391,-0.9999620914459229,3.4679066051136365e-07,0.39865831624377857,1,0,0,0,0
1,0.020000,15,0.5,0.30000001192092896,0.0,0.044285304844379425,0.01196904107928276,-0.04489365592598915,0.5391082669972345,0.04489365592598915,0.0458742429857668,0.11636603623628616,-5.257996559143066,0.39853236079216003,-0.9999181628227234,7.343802222593583e-07,0.3985316264119378,1,0,0,0,0
1,0.020000,16,0.5,0.30000001192092896,0.0,0.04374708980321884,0.003359663300216198,-0.1142905130982399,0.544207878014321,0.1142905130982399,0.0438759068708752,0.35383108258247375,-2.723102569580078,0.3982037901878357,-0.9999603033065796,3.059917592747326e-07,0.39820348419607643,1,0,0,0,0
1,0.020000,17,0.5,0.30000001192092896,0.0,0.045178018510341644,0.012493211776018143,0.01844250224530697,0.5380735962447375,0.01844250224530697,0.046873592746889056,-0.2892497181892395,-0.025569148361682892,0.39844319224357605,-0.9999629855155945,7.03781046331885e-07,0.3984424884625297,1,0,0,0,0
1,0.020000,18,0.5,0.30000001192092896,0.0,0.018842749297618866,0.008808156475424767,0.0921950563788414,0.5624099897594899,0.0921950563788414,0.02079982744131507,0.49706175923347473,2.72346568107605,0.3985694646835327,-0.9999457001686096,5.099862654578877e-07,0.3985689546972673,1,0,0,0,0
1,0.020000,19,0.5,0.30000001192092896,0.0,0.04007064551115036,0.0038639716804027557,0.11861894279718399,0.5470206261649266,0.11861894279718399,0.0402565138682826,0.06540219485759735,5.187023162841797,0.39804238080978394,-0.999975860118866,6.425826944769385e-07,0.39804173822708944,1,0,0,0,0
1,0.020000,20,0.5,0.30000001192092896,0.0,0.043469320982694626,0.007655066903680563,0.05329674482345581,0.5421123755838266,0.05329674482345581,0.044138213783482004,-2.113067626953125,-4.9422287940979,0.39774301648139954,-0.999992311000824,2.651928580381016e-07,0.3977427512885415,1,0,0,0,0
1,0.020000,21,0.5,0.30000001192092896,0.0,0.04540715366601944,0.003996376879513264,0.12962234020233154,0.5424691769084781,0.12962234020233154,0.04558267908112259,-2.4111499786376953,-2.7253143787384033,0.3979896903038025,-0.999976634979248,-1.2239670370989306e-07,0.3979898127005062,1,0,0,0,0
1,0.020000,22,0.5,0.30000001192092896,0.0,0.03316784277558327,0.009899713099002838,0.1890970766544342,0.5496275524347132,0.1890970766544342,0.03461372724553626,-2.6989219188690186,-0.05308610945940018,0.39794600009918213,-0.9998979568481445,-1.7339533025568182e-07,0.3979461734945124,1,0,0,0,0
1,0.020000,23,0.5,0.30000001192092896,0.0,0.03455217182636261,0.001933075487613678,0.007114344276487827,0.5527074989054318,0.007114344276487827,0.034606204050130936,-2.6960790157318115,2.1511785984039307,0.3978016972541809,-0.9999876618385315,2.0399450618315507e-07,0.39780149325967473,1,0,0,0,0
1,0.020000,24,0.5,0.30000001192092896,0.0,0.03448372334241867,0.00526297464966774,0.06212698668241501,0.5509767009344212,0.06212698668241501,0.03488303423900386,-2.270714521408081,5.365116596221924,0.3979627192020416,-0.9999768137931824,1.7339533025568182e-07,0.39796254580671137,1,0,0,0,0
1,0.020000,25,0.5,0.30000001192092896,0.0,0.029509492218494415,0.003621881827712059,0.07280369102954865,0.5560587324285545,0.07280369102954865,0.02973092933238538,-4.7770280838012695,-4.785882472991943,0.3978451192378998,-0.9999789595603943,1.4279615432820854e-07,0.39784497644174543,1,0,0,0,0
1,0.020000,26,0.5,0.30000001192092896,0.0,0.03730497509241104,0.0032523013651371002,-0.04646768793463707,0.5496779873656379,0.04646768793463707,0.037446476881211145,-4.9188313484191895,-2.2163245677948,0.3980354368686676,-0.9999580383300781,1.8359505556483956e-07,0.39803525327361206,1,0,0,0,0
1,0.020000,27,0.5,0.30000001192092896,0.0,0.03556622564792633,0.007218785583972931,-0.15662026405334473,0.5490169189144217,0.15662026405334473,0.036291421467704844,-5.055489540100098,-0.23140236735343933,0.3983701467514038,-0.9999614953994751,3.1619148458389037e-07,0.3983698305599192,1,0,0,0,0
1,0.020000,28,0.5,0.30000001192092896,0.0,0.030494872480630875,0.00835978239774704,-0.051150012761354446,0.5527106731765846,0.051150012761354446,0.031619981172474144,-4.65053129196167,2.268702507019043,0.39856138825416565,-0.9999911189079285,3.059917592747326e-07,0.3985610822624064,1,0,0,0,0
1,0.020000,29,0.5,0.30000001192092896,0.0,0.03990556299686432,0.0013192612677812576,0.03929227590560913,0.5485408660910873,0.03929227590560913,0.03992736415529298,-4.983232021331787,4.79104471206665,0.3977641463279724,-0.9999855756759644,7.241804969502006e-07,0.39776342214747545,1,0,0,0,0
1,0.020000,30,0.5,0.30000001192092896,0.0,0.05491194501519203,0.0049907006323337555,-0.038594089448451996,0.5339792790334946,0.038594089448451996,0.05513826981464915,-7.690840244293213,-4.986449718475342,0.39886873960494995,-0.9999600052833557,8.771763765875669e-07,0.39886786242857336,1,0,0,0,0
1,0.020000,31,0.5,0.30000001192092896,0.0,0.03214067593216896,0.0016306005418300629,0.020565077662467957,0.5549023812923474,0.020565077662467957,0.032182012173009346,-7.477240085601807,-2.9159345626831055,0.3982369601726532,-0.9999899864196777,8.261777500417781e-07,0.39823613399490315,1,0,0,0,0
2,0.040000,0,0.5,0.30000001192092896,0.0,0.009479036554694176,-0.0024310732260346413,0.00474456325173378,0.5762598171332798,0.00474456325173378,0.009785818874042729,7.526872634887695,-4.839239597320557,0.39362773299217224,-0.9997794032096863,9.179752778241978e-08,0.39362764119464444,1,0,0,0,0
2,0.040000,1,0.5,0.30000001192092896,0.0,0.014677091501653194,0.0034020571038126945,0.0650060623884201,0.5687782277082966,0.0650060623884201,0.015066220743288705,7.803768634796143,-2.9633984565734863,0.39344868063926697,-0.9995833039283752,6.935813210227273e-07,0.3934479870579459,1,0,0,0,0
2,0.040000,2,0.5,0.30000001192092896,0.0,0.012307340279221535,-0.0013654710492119193,-0.03568760305643082,0.5732933670219404,0.03568760305643082,0.01238285653372374,7.680721759796143,-0.19715160131454468,0.3926466703414917,-0.9996753334999084,6.527824197860962e-07,0.3926460175590719,1,0,0,0,0
2,0.040000,3,0.5,0.30000001192092896,0.0,0.01611572504043579,0.00358788575977087,0.05729363113641739,0.5674540863263929,0.05729363113641739,0.01651028521268169,7.990714073181152,2.4522292613983154,0.3935616910457611,-0.9995647072792053,2.2439395680147059e-07,0.3935614666518043,1,0,0,0,0
2,0.040000,4,0.5,0.30000001192092896,0.0,-0.001246318337507546,0.002112404676154256,0.13243788480758667,0.5830822396514261,0.13243788480758667,0.002452664452028842,7.134616851806641,5.330395221710205,0.39349159598350525,-0.9996718764305115,6.731818704044118e-07,0.39349092280163483,1,0,0,0,0
2,0.040000,5,0.5,0.30000001192092896,0.0,0.006692393682897091,-0.0007588728331029415,0.08344191312789917,0.5777614570121469,0.08344191312789917,0.006735281819174501,4.635491847991943,-5.239343643188477,0.39326030015945435,-0.9994816184043884,1.1933678611714571e-06,0.39325910679159315,1,0,0,0,0
2,0.040000,6,0.5,0.30000001192092896,0.0,0.019861117005348206,0.003082276787608862,0.06992121040821075,0.5645294397992476,0.06992121040821075,0.02009886561215742,5.010086536407471,-2.1051652431488037,0.3925877809524536,-0.9997422099113464,3.977892870571524e-07,0.39258738316316655,1,0,0,0,0
2,0.040000,7,0.5,0.30000001192092896,0.0,0.0017038772348314524,-0.00038860226050019264,0.05155756324529648,0.5818353250642654,0.05155756324529648,0.0017476296370348998,5.085061073303223,-0.002775215543806553,0.394050270318985,-0.9995830655097961,1.4279615432820854e-07,0.39405012752283064,1,0,0,0,0
2,0.040000,8,0.5,0.30000001192092896,0.0,0.011621404439210892,0.000626186840236187,-0.05490579083561897,0.5728336056355057,0.05490579083561897,0.011638262374538374,4.584332466125488,2.5566885471343994,0.3935130536556244,-0.9996938705444336,7.85378848805147e-07,0.3935122682767756,1,0,0,0,0
2,0.040000,9,0.5,0.30000001192092896,0.0,0.008053023368120193,0.0010638479143381119,0.03153021261096001,0.5756515073968127,0.03153021261096001,0.00812298945908041,4.6092987060546875,4.664607048034668,0.39353305101394653,-0.9996248483657837,7.85378848805147e-07,0.39353226563509774,1,0,0,0,0
