step,time_s,env_id,cmd_vx,cmd_vy,cmd_wz,actual_vx,actual_vy,actual_wz,error_xy,error_yaw,speed_xy,root_x,root_y,root_z,terminated,truncated,term_time_out,term_base_contact
1,0.020000,0,0.5,0.0,0.0,0.04086223989725113,0.001478683203458786,-0.00946818571537733,0.4591401411945873,0.00946818571537733,0.040888985722767605,-0.436490535736084,-12.209392547607422,1.4488012790679932,0,0,0,0
1,0.020000,1,0.5,0.0,0.0,0.05087719112634659,-0.0035969391465187073,0.06035725399851799,0.4491372122434123,0.06035725399851799,0.051004181672982055,0.20389731228351593,-11.519822120666504,1.4488211870193481,0,0,0,0
1,0.020000,2,0.5,0.0,0.0,0.042972296476364136,0.0012045502662658691,-0.09594729542732239,0.4570292908878296,0.09594729542732239,0.04298917544913485,0.291855126619339,-12.498140335083008,1.4488924741744995,0,0,0,0
1,0.020000,3,0.5,0.0,0.0,0.047633737325668335,-0.0043341536074876785,0.0682600662112236,0.45238702511614515,0.0682600662112236,0.0478305113824227,0.28807246685028076,-12.11407470703125,1.4490337371826172,0,0,0,0
1,0.020000,4,0.5,0.0,0.0,0.03594384342432022,-0.002242065966129303,0.020771892741322517,0.46406157276334387,0.020771892741322517,0.03601370211334185,-0.32976245880126953,-11.816280364990234,1.4489526748657227,0,0,0,0
1,0.020000,5,0.5,0.0,0.0,0.04474872350692749,-0.001959148794412613,-0.08141307532787323,0.45525549201802124,0.08141307532787323,0.04479158982999033,0.03354314714670181,-12.10008430480957,1.4491255283355713,0,0,0,0
1,0.020000,6,0.5,0.0,0.0,0.04916059598326683,-0.0034639970399439335,-0.18627434968948364,0.45085271152523404,0.18627434968948364,0.0492824864726074,-0.2878999710083008,-12.467226028442383,1.4488639831542969,0,0,0,0
1,0.020000,7,0.5,0.0,0.0,0.04978237301111221,0.003267042338848114,-0.07122323662042618,0.4502294806175503,0.07122323662042618,0.049889460091900574,0.09715192019939423,-11.518705368041992,1.4488707780838013,0,0,0,0
1,0.020000,8,0.5,0.0,0.0,0.048141513019800186,-0.009584464132785797,-0.15575097501277924,0.4519601245782066,0.15575097501277924,0.04908632425175314,0.24823816120624542,-3.9812169075012207,1.4488855600357056,0,0,0,0
1,0.020000,9,0.5,0.0,0.0,0.040397148579359055,-0.0054194629192352295,-0.15422137081623077,0.459634802438106,0.15422137081623077,0.040759050426571235,-0.039183180779218674,-4.326096057891846,1.448898196220398,0,0,0,0
1,0.020000,10,0.5,0.0,0.0,0.043538548052310944,-0.0019255103543400764,0.031058410182595253,0.456465513159885,0.031058410182595253,0.043581105500297486,-0.4937540292739868,-3.7059099674224854,1.4484518766403198,0,0,0,0
1,0.020000,11,0.5,0.0,0.0,0.05056467652320862,0.0007568188011646271,-0.037427157163619995,0.4494359606922725,0.037427157163619995,0.05057033998891565,0.29155054688453674,-3.639458417892456,1.4486967325210571,0,0,0,0
1,0.020000,12,0.5,0.0,0.0,0.05196753889322281,-0.00530638312920928,-0.07093322277069092,0.4480638837345739,0.07093322277069092,0.052237752636695445,0.27776414155960083,-3.959815740585327,1.4486051797866821,0,0,0,0
