spec,group,case,n,survival,tracking,proxy,floor
G-A035,stairs,G5:stairs_15_down:101,32,0.12500,0.14849,0.01856,-0.05080
G-A035,stairs,G5:stairs_15_up:202,32,0.78125,0.67675,0.52871,-0.05080
G-A035,stairs,G5:stairs_10_down:303,32,0.53125,0.22154,0.11769,-0.05080
G-A035,rough,G3:rough_lateral:101,32,0.37500,0.81007,0.30378,-0.09479
G-A035,rough,G3:rough_forward:202,32,1.00000,0.81834,0.81834,-0.09479
G-A035,rough,G3:rough_lateral:303,32,0.40625,0.81279,0.33020,-0.09479
G-A035,slope,G4:slope_plus_20:101,32,1.00000,0.92998,0.92998,-0.03251
G-A035,slope,G4:slope_plus_20:202,32,1.00000,0.85883,0.85883,-0.03251
G-A035,slope,G4:slope_plus_20:303,32,1.00000,0.93320,0.93320,-0.03251
G-A037,stairs_15_climb,G5:stairs_15_down:101,32,0.12500,0.14849,0.01856,-0.00999
G-A037,stairs_15_climb,G5:stairs_15_down:202,32,0.03125,0.13632,0.00426,-0.00999
G-A037,stairs_15_climb,G5:stairs_15_down:303,32,0.03125,0.14265,0.00446,-0.00999
G-A037,stairs_10_climb,G5:stairs_10_down:101,32,0.87500,0.21257,0.18600,-0.02858
G-A037,stairs_10_climb,G5:stairs_10_down:202,32,0.53125,0.22167,0.11776,-0.02858
G-A037,stairs_10_climb,G5:stairs_10_down:303,32,0.53125,0.22154,0.11769,-0.02858
G-A037,rough_lateral,G3:rough_lateral:101,32,0.37500,0.81007,0.30378,-0.11366
G-A037,rough_lateral,G3:rough_lateral:202,32,0.37500,0.80519,0.30195,-0.11366
G-A037,rough_lateral,G3:rough_lateral:303,32,0.40625,0.81279,0.33020,-0.11366
G-A038,rough_lateral,G3:rough_lateral:101,32,0.37500,0.81007,0.30378,-0.11366
G-A038,rough_lateral,G3:rough_lateral:202,32,0.37500,0.80519,0.30195,-0.11366
G-A038,rough_lateral,G3:rough_lateral:303,32,0.40625,0.81279,0.33020,-0.11366
G-A038,push_pos_x,G6:push_pos_x:101,32,0.84375,0.96389,0.81328,-0.07561
G-A038,push_pos_x,G6:push_pos_x:202,32,0.96875,0.97058,0.94025,-0.07561
G-A038,push_pos_x,G6:push_pos_x:303,32,0.93750,0.96725,0.90680,-0.07561
G-A038,stairs_10_climb,G5:stairs_10_down:101,32,0.87500,0.21257,0.18600,-0.02858
G-A038,stairs_10_climb,G5:stairs_10_down:202,32,0.53125,0.22167,0.11776,-0.02858
G-A038,stairs_10_climb,G5:stairs_10_down:303,32,0.53125,0.22154,0.11769,-0.02858
